State,District,Date,Volumetric Soil Moisture (in %),wkt_geom,ndvi_value,Area,Risk Factor_x,slope_value,Risk Factor_y,Classes,Area Sq. Km,ANNUAL_x,ANNUAL_y,Risk Factor_z,Risk Score
Kerala,Wayanad,2020-09,30.32,Point (76.00003323507125685 11.60996147925331279),2319.75,chooralmala,0,841,1,Plantation,13748.31181,1399.9,2958.4,1,2
Kerala,Wayanad,2020-10,24.61,Point (76.00003323507125685 11.60996147925331279),2226.4,chooralmala,0,841,1,Evergreen forest,114.266432,875.7,3253.1,1,2
Kerala,Wayanad,2020-11,24.32,Point (76.00003323507125685 11.60996147925331279),2386.142857,chooralmala,0,840,1,Deciduous forest,0.191296,836.5,2841.2,1,2
Kerala,Wayanad,2020-12,21.9,Point (76.00003323507125685 11.60996147925331279),2418.75,chooralmala,0,841,1,Degraded / Scrub Forest,16.47968,506.0,3319.1,1,2
Kerala,Wayanad,2021-01,23.17,Point (76.00003323507125685 11.60996147925331279),2386.545455,chooralmala,0,843,1,Littoral swamp,0.0,855.0,3029.9,1,2
Kerala,Wayanad,2021-02,18.31,Point (76.00003323507125685 11.60996147925331279),2512.363636,chooralmala,0,848,1,Grassland,695.937984,3124.3,2930.5,1,2
Kerala,Wayanad,2021-03,20.04,Point (76.00003323507125685 11.60996147925331279),2535.777778,chooralmala,0,852,1,Shifting cultivation,0.0,708.4,3384.1,1,2
Kerala,Wayanad,2021-04,23.48,Point (76.00003323507125685 11.60996147925331279),2703.916667,chooralmala,0,856,1,Wasteland,818.812736,925.9,2835.1,1,2
Kerala,Wayanad,2021-05,26.31,Point (76.00003323507125685 11.60996147925331279),2613.666667,chooralmala,0,858,1,Rann,670.122432,2705.6,2290.0,1,2
Kerala,Wayanad,2021-06,26.97,Point (76.00003323507125685 11.60996147925331279),2413.785714,chooralmala,0,859,1,Waterbodies max,0.0,1715.3,2491.7,1,2
Kerala,Wayanad,2021-07,28.82,Point (76.00003323507125685 11.60996147925331279),2418.777778,chooralmala,0,859,1,Waterbodies min,1469.877696,3079.9,3063.1,1,2
Kerala,Wayanad,2021-08,28.72,Point (76.00003323507125685 11.60996147925331279),2546.666667,chooralmala,0,861,1,Snow cover,221.872,2396.1,1803.2,0,1
Kerala,Wayanad,2021-09,27.01,Point (76.00003323507125685 11.60996147925331279),2643.666667,chooralmala,0,863,1,Mining,111.995968,3114.0,3302.5,1,2
Kerala,Wayanad,2021-10,29.34,Point (76.00003323507125685 11.60996147925331279),2444.444444,chooralmala,0,864,1,Evergreen/Semi evergreen,6.25632,2810.9,3621.6,1,2
Kerala,Wayanad,2021-12,21.85,Point (76.00003323507125685 11.60996147925331279),2441.111111,chooralmala,0,863,1,Forest Plantation,2383.153024,3270.9,2958.4,1,2
Kerala,Wayanad,2022-01,17.16,Point (76.00003323507125685 11.60996147925331279),2668.555556,mundakkai,0,860,1,Kharif crop,756.973952,1395.7,3253.1,1,2
Kerala,Wayanad,2022-02,15.63,Point (76.00003323507125685 11.60996147925331279),2548.6,mundakkai,0,859,1,Rabi crop,14055.52378,1516.9,2841.2,1,2
Kerala,Wayanad,2022-03,18.31,Point (76.00003323507125685 11.60996147925331279),2255.666667,mundakkai,0,860,1,Zaid crop,4331.487104,1387.3,3319.1,1,2
Kerala,Wayanad,2022-04,25.34,Point (76.00003323507125685 11.60996147925331279),2188.777778,mundakkai,0,859,1,Double / Triple Crop,13758.86758,1206.5,3029.9,1,2
Kerala,Wayanad,2022-05,26.79,Point (76.00003323507125685 11.60996147925331279),2288.375,mundakkai,0,861,1,Current fallow,114.410688,936.0,2930.5,1,2
Kerala,Wayanad,2022-06,26.19,Point (76.00003323507125685 11.60996147925331279),2384.8,mundakkai,0,863,1,Plantation,0.191296,875.3,3384.1,1,2
Kerala,Wayanad,2022-07,29.32,Point (76.00003323507125685 11.60996147925331279),2416.2,mundakkai,0,864,1,Evergreen forest,16.504768,1474.6,2835.1,1,2
Kerala,Wayanad,2022-08,29.37,Point (76.00003323507125685 11.60996147925331279),2379.75,mundakkai,0,863,1,Deciduous forest,0.0,541.4,2290.0,1,2
Kerala,Wayanad,2022-09,26.45,Point (76.00003323507125685 11.60996147925331279),2580.461538,mundakkai,0,862,1,Degraded / Scrub Forest,696.947776,566.0,2491.7,1,2
Kerala,Wayanad,2022-10,25.91,Point (76.00003323507125685 11.60996147925331279),2671.809524,mundakkai,0,861,1,Littoral swamp,0.0,1263.6,3063.1,1,2
Kerala,Wayanad,2022-11,22.89,Point (76.00003323507125685 11.60996147925331279),2609.538462,mundakkai,0,863,1,Grassland,784.843584,1066.6,1803.2,0,1
Kerala,Wayanad,2022-12,22.7,Point (76.00003323507125685 11.60996147925331279),2191.888889,mundakkai,0,865,1,Shifting cultivation,693.284928,267.2,3302.5,1,2
Kerala,Wayanad,2023-01,18.52,Point (76.00003323507125685 11.60996147925331279),2290.909091,mundakkai,0,865,1,Wasteland,0.0,701.7,3621.6,1,2
Kerala,Wayanad,2023-02,16.6,Point (76.00003323507125685 11.60996147925331279),2860.666667,mundakkai,0,865,1,Rann,1469.877696,829.3,2958.4,1,2
Kerala,Wayanad,2023-03,17.67,Point (76.00003323507125685 11.60996147925331279),2986.428571,mundakkai,0,865,1,Waterbodies max,221.872,1155.4,3253.1,1,2
Kerala,Wayanad,2023-04,20.61,Point (76.00003323507125685 11.60996147925331279),2826.142857,mundakkai,0,865,1,Waterbodies min,111.995968,770.9,2841.2,1,2
Kerala,Wayanad,2023-05,25.13,Point (76.00003323507125685 11.60996147925331279),2826.142857,mundakkai,0,864,1,Snow cover,6.25632,412.5,3319.1,1,2
Kerala,Wayanad,2023-06,25.03,Point (76.00003323507125685 11.60996147925331279),2756.333333,mundakkai,0,863,1,Mining,2383.153024,2509.0,3029.9,1,2
Kerala,Wayanad,2023-07,28.67,Point (76.00003323507125685 11.60996147925331279),3024.6,mundakkai,0,859,1,Evergreen/Semi evergreen,756.973952,683.4,2930.5,1,2
Kerala,Wayanad,2023-08,24.74,Point (76.00003323507125685 11.60996147925331279),2862.888889,mundakkai,0,855,1,Forest Plantation,14055.52378,546.0,3384.1,1,2
Kerala,Wayanad,2023-09,25.75,Point (76.00003323507125685 11.60996147925331279),2445.857143,mundakkai,0,853,1,Kharif crop,4331.487104,807.8,2835.1,1,2
Kerala,Wayanad,2023-10,25.18,Point (76.00003323507125685 11.60996147925331279),2543.384615,mundakkai,0,845,1,Rabi crop,13758.86758,1374.0,2290.0,1,2
Kerala,Wayanad,2023-11,25.3,Point (76.00003323507125685 11.60996147925331279),2733.222222,mundakkai,0,839,1,Zaid crop,114.410688,850.6,2491.7,1,2
Kerala,Wayanad,2023-12,20.8,Point (76.00003323507125685 11.60996147925331279),2703.2,mundakkai,0,830,1,Double / Triple Crop,0.191296,711.1,3063.1,1,2
Kerala,Wayanad,2024-01,20.86,Point (76.00003323507125685 11.60996147925331279),2669.25,mundakkai,0,825,1,Current fallow,16.504768,608.0,1803.2,0,1
Kerala,Wayanad,2024-02,16.99,Point (76.00003323507125685 11.60996147925331279),2736.0,mundakkai,0,824,1,Plantation,0.0,716.2,3302.5,1,2
Kerala,Wayanad,2024-03,15.56,Point (76.00003323507125685 11.60996147925331279),2674.428571,mundakkai,0,824,1,Evergreen forest,696.947776,2896.6,3621.6,1,2
Kerala,Wayanad,2024-04,18.67,Point (76.00003323507125685 11.60996147925331279),2474.8,mundakkai,0,825,1,Deciduous forest,0.0,628.6,2958.4,1,2
Kerala,Wayanad,2024-05,25.82,Point (76.00003323507125685 11.60996147925331279),2477.5,mundakkai,0,826,1,Degraded / Scrub Forest,784.843584,872.6,3253.1,1,2
Kerala,Wayanad,2024-06,27.62,Point (76.00003323507125685 11.60996147925331279),2478.166667,mundakkai,0,826,1,Littoral swamp,693.284928,2334.8,2841.2,1,2
Kerala,Wayanad,2024-07,29.71,Point (76.00003323507125685 11.60996147925331279),2069.571429,mundakkai,0,827,1,Grassland,0.0,1124.5,3319.1,1,2
Kerala,Wayanad,2024-08,30.0,Point (76.00003323507125685 11.60996147925331279),2230.818182,mundakkai,0,827,1,Shifting cultivation,114.410688,2722.0,3029.9,1,2
Kerala,Wayanad,2024-09,24.22,Point (76.00003323507125685 11.60996147925331279),2381.733333,mundakkai,0,827,1,Wasteland,6.25632,2334.8,2930.5,1,2
