State,District,Date,Volumetric Soil Moisture (in %),wkt_geom,ndvi_value,Area,Risk Factor_x,slope_value,Risk Factor_y,Classes,Area Sq. Km,ANNUAL_x,ANNUAL_y,Risk Factor_z,Landslide Probability,Landslide Occurrence,Severity
Kerala,Wayanad,2022-06,26.19,Point (76.00003323507125685 11.60996147925331279),2384.8,mundakkai,0,863,0.3848000000000002,Plantation,0.191296,875.3,3384.1,0.2619,0.19401000000000007,YES,Low
Kerala,Wayanad,2022-07,29.32,Point (76.00003323507125685 11.60996147925331279),2416.2,mundakkai,0,864,0.4161999999999998,Evergreen forest,16.504768,1474.6,2835.1,0.2932,0.21281999999999993,YES,Low
Kerala,Wayanad,2022-08,29.37,Point (76.00003323507125685 11.60996147925331279),2379.75,mundakkai,0,863,0.37975,Deciduous forest,0.0,541.4,2290.0,0.2937,0.202035,YES,Low
Kerala,Wayanad,2022-09,26.45,Point (76.00003323507125685 11.60996147925331279),2580.461538,mundakkai,0,862,0.580461538,Degraded / Scrub Forest,696.947776,566.0,2491.7,0.2645,0.25348846140000003,YES,Low
Kerala,Wayanad,2022-10,25.91,Point (76.00003323507125685 11.60996147925331279),2671.809524,mundakkai,0,861,0.6718095239999998,Littoral swamp,0.0,1263.6,3063.1,0.2591,0.27927285719999995,YES,Low
Kerala,Wayanad,2022-11,22.89,Point (76.00003323507125685 11.60996147925331279),2609.538462,mundakkai,0,863,0.609538462,Grassland,784.843584,1066.6,1803.2,0.2289,0.2515315386,YES,Low
Kerala,Wayanad,2022-12,22.7,Point (76.00003323507125685 11.60996147925331279),2191.888889,mundakkai,0,865,0.19188888899999984,Shifting cultivation,693.284928,267.2,3302.5,0.22699999999999998,0.12566666669999993,NO,Low
Kerala,Wayanad,2023-01,18.52,Point (76.00003323507125685 11.60996147925331279),2290.909091,mundakkai,0,865,0.290909091,Wasteland,0.0,701.7,3621.6,0.1852,0.14283272730000002,NO,Low
Kerala,Wayanad,2023-02,16.6,Point (76.00003323507125685 11.60996147925331279),2860.666667,mundakkai,0,865,0.8606666669999999,Rann,1469.877696,829.3,2958.4,0.166,0.3080000001,YES,Medium
Kerala,Wayanad,2023-03,17.67,Point (76.00003323507125685 11.60996147925331279),2986.428571,mundakkai,0,865,0.9864285709999999,Waterbodies max,221.872,1155.4,3253.1,0.17670000000000002,0.34893857129999994,YES,Medium
Kerala,Wayanad,2023-04,20.61,Point (76.00003323507125685 11.60996147925331279),2826.142857,mundakkai,0,865,0.8261428569999998,Waterbodies min,111.995968,770.9,2841.2,0.2061,0.3096728570999999,YES,Medium
Kerala,Wayanad,2023-05,25.13,Point (76.00003323507125685 11.60996147925331279),2826.142857,mundakkai,0,864,0.8261428569999998,Snow cover,6.25632,412.5,3319.1,0.25129999999999997,0.32323285709999994,YES,Medium
Kerala,Wayanad,2023-06,25.03,Point (76.00003323507125685 11.60996147925331279),2756.333333,mundakkai,0,863,0.756333333,Mining,2383.153024,2509.0,3029.9,0.2503,0.30198999990000003,YES,Medium
Kerala,Wayanad,2023-07,28.67,Point (76.00003323507125685 11.60996147925331279),3024.6,mundakkai,0,859,1.0246,Evergreen/Semi evergreen,756.973952,683.4,2930.5,0.2867,0.39339,YES,Medium
Kerala,Wayanad,2023-08,24.74,Point (76.00003323507125685 11.60996147925331279),2862.888889,mundakkai,0,855,0.8628888889999998,Forest Plantation,14055.52378,546.0,3384.1,0.24739999999999998,0.3330866666999999,YES,Medium
Kerala,Wayanad,2023-09,25.75,Point (76.00003323507125685 11.60996147925331279),2445.857143,mundakkai,0,853,0.4458571430000002,Kharif crop,4331.487104,807.8,2835.1,0.2575,0.21100714290000006,YES,Low
Kerala,Wayanad,2023-10,25.18,Point (76.00003323507125685 11.60996147925331279),2543.384615,mundakkai,0,845,0.5433846149999999,Rabi crop,13758.86758,1374.0,2290.0,0.2518,0.23855538449999997,YES,Low
Kerala,Wayanad,2023-11,25.3,Point (76.00003323507125685 11.60996147925331279),2733.222222,mundakkai,0,839,0.7332222219999999,Zaid crop,114.410688,850.6,2491.7,0.253,0.29586666659999994,YES,Low
Kerala,Wayanad,2023-12,20.8,Point (76.00003323507125685 11.60996147925331279),2703.2,mundakkai,0,830,0.7031999999999998,Double / Triple Crop,0.191296,711.1,3063.1,0.20800000000000002,0.27335999999999994,YES,Low
Kerala,Wayanad,2024-01,20.86,Point (76.00003323507125685 11.60996147925331279),2669.25,mundakkai,0,825,0.66925,Current fallow,16.504768,608.0,1803.2,0.2086,0.263355,YES,Low
Kerala,Wayanad,2024-02,16.99,Point (76.00003323507125685 11.60996147925331279),2736.0,mundakkai,0,824,0.736,Plantation,0.0,716.2,3302.5,0.1699,0.27177,YES,Low
Kerala,Wayanad,2024-03,15.56,Point (76.00003323507125685 11.60996147925331279),2674.428571,mundakkai,0,824,0.6744285709999999,Evergreen forest,696.947776,2896.6,3621.6,0.15560000000000002,0.24900857129999995,YES,Low
Kerala,Wayanad,2024-04,18.67,Point (76.00003323507125685 11.60996147925331279),2474.8,mundakkai,0,825,0.47480000000000017,Deciduous forest,0.0,628.6,2958.4,0.1867,0.19845000000000004,YES,Low
Kerala,Wayanad,2024-05,25.82,Point (76.00003323507125685 11.60996147925331279),2477.5,mundakkai,0,826,0.4775,Degraded / Scrub Forest,784.843584,872.6,3253.1,0.2582,0.22070999999999996,YES,Low
Kerala,Wayanad,2024-06,27.62,Point (76.00003323507125685 11.60996147925331279),2478.166667,mundakkai,0,826,0.47816666699999993,Littoral swamp,693.284928,2334.8,2841.2,0.2762,0.22631000009999996,YES,Low
Kerala,Wayanad,2024-07,29.71,Point (76.00003323507125685 11.60996147925331279),2069.571429,mundakkai,0,827,0.06957142900000007,Grassland,0.0,1124.5,3319.1,0.29710000000000003,0.11000142870000001,NO,Low
Kerala,Wayanad,2024-08,30.0,Point (76.00003323507125685 11.60996147925331279),2230.818182,mundakkai,0,827,0.23081818199999998,Shifting cultivation,114.410688,2722.0,3029.9,0.3,0.1592454546,YES,Low
Kerala,Wayanad,2024-09,24.22,Point (76.00003323507125685 11.60996147925331279),2381.733333,mundakkai,0,827,0.3817333330000001,Wasteland,6.25632,2334.8,2930.5,0.2422,0.18717999990000003,YES,Low
